a_single_date;year;month;day;week_of_year;quarter
2017/01/01;2017;1;1;1;1
2017/01/02;2017;1;2;2;1
2017/01/03;2017;1;3;3;1
2017/01/04;2017;1;4;4;1
2017/01/05;2017;1;5;5;1
2017/01/06;2017;1;6;6;1
2017/01/07;2017;1;7;7;1
2017/01/08;2017;1;8;1;1
2017/01/09;2017;1;9;2;1
2017/01/10;2017;1;10;3;1
2017/01/11;2017;1;11;4;1
2017/01/12;2017;1;12;5;1
2017/01/13;2017;1;13;6;1
2017/01/14;2017;1;14;7;1
2017/01/15;2017;1;15;1;1
2017/01/16;2017;1;16;2;1
2017/01/17;2017;1;17;3;1
2017/01/18;2017;1;18;4;1
2017/01/19;2017;1;19;5;1
2017/01/20;2017;1;20;6;1
2017/01/21;2017;1;21;7;1
2017/01/22;2017;1;22;1;1
2017/01/23;2017;1;23;2;1
2017/01/24;2017;1;24;3;1
2017/01/25;2017;1;25;4;1
2017/01/26;2017;1;26;5;1
2017/01/27;2017;1;27;6;1
2017/01/28;2017;1;28;7;1
2017/01/29;2017;1;29;1;1
2017/01/30;2017;1;30;2;1
2017/01/31;2017;1;31;3;1
2017/02/01;2017;2;1;4;1
2017/02/02;2017;2;2;5;1
2017/02/03;2017;2;3;6;1
2017/02/04;2017;2;4;7;1
2017/02/05;2017;2;5;1;1
2017/02/06;2017;2;6;2;1
2017/02/07;2017;2;7;3;1
2017/02/08;2017;2;8;4;1
2017/02/09;2017;2;9;5;1
2017/02/10;2017;2;10;6;1
2017/02/11;2017;2;11;7;1
2017/02/12;2017;2;12;1;1
2017/02/13;2017;2;13;2;1
2017/02/14;2017;2;14;3;1
2017/02/15;2017;2;15;4;1
2017/02/16;2017;2;16;5;1
2017/02/17;2017;2;17;6;1
2017/02/18;2017;2;18;7;1
2017/02/19;2017;2;19;1;1
2017/02/20;2017;2;20;2;1
2017/02/21;2017;2;21;3;1
2017/02/22;2017;2;22;4;1
2017/02/23;2017;2;23;5;1
2017/02/24;2017;2;24;6;1
2017/02/25;2017;2;25;7;1
